shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
shp_5_1,10,60.098392,20.015142
shp_5_1,11,60.112542,19.978784
shp_5_1,12,60.115261,19.951079
shp_5_1,13,60.111089,19.940445
shp_5_1,14,60.104463,19.941982
shp_5_1,15,60.102340,19.942443
shp_6_0,0,60.102340,19.942443
shp_6_0,1,60.104463,19.941982
shp_6_0,2,60.111089,19.940445
shp_6_0,3,60.116943,19.942122
shp_6_0,4,60.119694,19.942484
shp_6_0,5,60.127846,19.942249
shp_6_0,6,60.156351,19.947425
shp_6_0,7,60.158994,19.947186
shp_6_0,8,60.186319,19.950708
shp_6_0,9,60.194108,19.946116
shp_6_0,10,60.203772,19.918481
shp_6_0,11,60.210670,19.878339
shp_6_0,12,60.204055,19.917671
shp_6_0,13,60.204826,19.959452
shp_6_0,14,60.209214,19.963291
shp_6_0,15,60.223520,19.981334
shp_6_0,16,60.230598,19.989184
