zon_id,lon,lat
Z0001,19.988763,60.019276000000005
Z0002,19.994548954545454,60.01813277272727
Z0003,20.0025008,60.018243
Z0004,20.12355675,60.0174795
Z0005,20.128957319999998,60.017928600000005
Z0006,20.13794532,60.017928600000005
Z0007,20.145005,60.01780028571428
Z0008,19.9785015,60.0248905
Z0009,19.985552407407408,60.023085555555554
Z0010,19.9942058,60.02286933333333
Z0011,20.003195166666668,60.02286933333333
Z0012,20.010007857142856,60.02331842857143
Z0013,20.130447,60.0208036
Z0014,20.1380025,60.021073
Z0015,20.143387,60.020624
Z0016,20.57177811111111,60.02471588888889
Z0017,20.578212200000003,60.0247558
Z0018,19.9701814,60.0279896
Z0019,19.976286899999998,60.02736075
Z0020,19.985277250000003,60.02736075
Z0021,19.9942679,60.02736075
Z0022,20.0032584,60.02736075
Z0023,20.010285636363637,60.027238272727274
Z0024,20.56530242857143,60.02755328571429
Z0025,20.57146105,60.02736075
Z0026,20.580055277777777,60.027460555555564
Z0027,19.970227299999998,60.0314932
Z0028,19.9763464,60.0318525
Z0029,19.98485076923077,60.03161065384616
Z0030,19.993531714285716,60.02986357142857
Z0031,20.003294875,60.02994375
Z0032,20.008685,60.029607
Z0033,20.548292,60.034098
Z0034,20.554046954545456,60.03250577272727
Z0035,20.562817518518518,60.032101999999995
Z0036,20.57166127586207,60.031775068965516
Z0037,20.57943752631579,60.03121426315789
Z0038,19.9772875,60.034997
Z0039,19.981784,60.034997
Z0040,20.548346666666664,60.035895000000004
Z0041,20.5537563,60.036344
Z0042,20.56274925,60.036344
Z0043,20.568131,60.035895000000004
Z0044,19.969067625,60.042519750000004
Z0045,19.976227857142856,60.04224714285714
Z0046,19.9818865,60.042632
Z0047,20.167458749999998,60.04165891666667
Z0048,20.17434167857143,60.04099589285715
Z0049,20.18155223076923,60.04176830769231
Z0050,20.4375639375,60.0420145
Z0051,20.4454343125,60.0420145
Z0052,20.451423,60.043081
Z0053,20.482768571428572,60.04282442857143
Z0054,20.489200999999998,60.043081
Z0055,20.52770608333333,60.042332666666674
Z0056,20.535136636363635,60.04242790909091
Z0057,20.55466318181818,60.03924309090908
Z0058,20.56202163636364,60.03924309090908
Z0059,19.967931166666666,60.04542705555556
Z0060,19.9765256,60.04532725
Z0061,19.9828225,60.04532725
Z0062,20.167389999999997,60.045204727272726
Z0063,20.174425149999998,60.04532725
Z0064,20.182133,60.04519892857143
Z0065,20.43169475,60.04532725
Z0066,20.437092,60.04532725
Z0067,20.4460874,60.04532725
Z0068,20.4514845,60.04532725
Z0069,20.476080833333334,60.045626666666664
Z0070,20.482069250000002,60.04532725
Z0071,20.490667944444443,60.04542705555556
Z0072,20.52164925,60.04532725
Z0073,20.5270465,60.04532725
Z0074,20.536041750000003,60.04532725
Z0075,20.541452666666668,60.04577633333333
Z0076,19.96041425,60.051615
Z0077,19.96785837037037,60.05006814814815
Z0078,19.9761484,60.04944144
Z0079,19.9826822,60.048291600000006
Z0080,20.1681715,60.047573
Z0081,20.174477200000002,60.048022
Z0082,20.180471666666666,60.04787233333334
Z0083,20.43771405882353,60.04873552941177
Z0084,20.445652,60.04873552941177
Z0085,20.451547,60.047573
Z0086,20.475997714285715,60.048728
Z0087,20.482319620689655,60.049741241379316
Z0088,20.49058270833333,60.049407
Z0089,20.5217295,60.048022
Z0090,20.52757040909091,60.04916545454546
Z0091,20.53572666666667,60.0490701904762
Z0092,19.958785071428572,60.05488771428571
Z0093,19.966252,60.05465959259259
Z0094,19.97411382352941,60.055023588235294
Z0095,19.959297000000003,60.05805316666667
Z0096,19.965905749999997,60.05880175
Z0097,19.9730991,60.0583526
Z0098,20.049112222222224,60.059749888888895
Z0099,20.056213333333332,60.05984966666667
Z0100,20.51187416666667,60.059550333333334
Z0101,20.51845135,60.05880175
Z0102,20.52526111111111,60.05915111111111
Z0103,19.9509785,60.064491000000004
Z0104,19.957120458333332,60.06381725
Z0105,19.9647374375,60.064135375
Z0106,20.025393,60.06509
Z0107,20.031082166666668,60.064341222222225
Z0108,20.040185318181816,60.063905727272726
Z0109,20.048767033333334,60.063293333333334
Z0110,20.057644620689654,60.063370758620685
Z0111,20.06696332142857,60.06345371428571
Z0112,20.075040454545455,60.06382409090909
Z0113,20.085208615384616,60.06477892307692
Z0114,20.09418890909091,60.06394654545454
Z0115,20.102371318181817,60.06394654545454
Z0116,20.111946833333334,60.06486533333333
Z0117,20.117803666666664,60.06523966666666
Z0118,20.2586884,60.064820399999995
Z0119,20.264936833333334,60.06381725
Z0120,20.272843470588235,60.06421794117647
Z0121,20.511602875,60.06306875
Z0122,20.518584833333332,60.063293333333334
Z0123,20.526376904761907,60.063015285714286
Z0124,19.950003000000002,60.068054200000006
Z0125,19.95702085,60.06778475
Z0126,19.965386,60.06770547058824
Z0127,20.024532625,60.06778475
Z0128,20.0308337,60.06778475
Z0129,20.0398352,60.06778475
Z0130,20.048944,60.0674479375
Z0131,20.05807233333333,60.06739553333333
Z0132,20.066839899999998,60.06778475
Z0133,20.075841450000002,60.06778475
Z0134,20.08484305,60.06778475
Z0135,20.09384465,60.06778475
Z0136,20.10284625,60.06778475
Z0137,20.1118478,60.06778475
Z0138,20.12084935,60.06778475
Z0139,20.129136666666668,60.06811413333333
Z0140,20.138274166666665,60.06898233333334
Z0141,20.15148,60.069132
